,article_title,article_volume,article_issue,article_date,article_citations,article_attention,article_tweets,article_views
0,Image based detection and targeting of therapy resistance in pancreatic adenocarcinoma,534,7607,2016-06-06,5,9,126,15309
0,Aberrant PD L1 expression through 3  UTR disruption in multiple cancers,534,7607,2016-05-23,9,7,217,53576
0,Systemic RNA delivery to dendritic cells exploits antiviral defence for cancer immunotherapy,534,7607,2016-06-01,8,8,467,51729
0,Dissecting direct reprogramming from fibroblast to neuron using single cell RNA seq,534,7607,2016-06-08,4,8,94,21907
0,Co repressor CBFA2T2 regulates pluripotency and germline development,534,7607,2016-06-08,5,6,53,6919
0,Towards clinical application of pronuclear transfer to prevent mitochondrial DNA disease,534,7607,2016-06-08,3,8,62,9988
0,Neural correlates of single vessel haemodynamic responses in vivo,534,7607,2016-05-25,9,5,139,8775
0,Seafloor geodetic constraints on interplate coupling of the Nankai Trough megathrust zone,534,7607,2016-05-23,4,7,163,10909
0,Concerted nucleophilic aromatic substitution with 19F  and 18F ,534,7607,2016-05-18,9,5,14,11249
0,Self assembly of microcapsules via colloidal bond hybridization and anisotropy,534,7607,2016-06-08,4,5,23,9744
0,Mean first passage times of non Markovian random walkers in confinement,534,7607,2016-06-15,5,5,61,4905
0,Fission and reconfiguration of bilobate comets as revealed by 67P Churyumov Gerasimenko,534,7607,2016-06-01,3,4,44,2473
0,Ribosome dependent activation of stringent control,534,7606,2016-05-09,4,8,46,8635
0,Intrinsic ferroelectric switching from first principles,534,7607,2016-06-15,9,1,18,8425
0,Overcoming mTOR resistance mutations with a new generation mTOR inhibitor,534,7606,2016-05-18,6,4,48,44998
0,The Brazilian Zika virus strain causes birth defects in experimental models,534,7606,2016-05-11,6,6,259,146836
0,Development of the gut microbiota and mucosal IgA responses in twins and gnotobiotic mice,534,7606,2016-05-25,3,7,36,12463
0,Universality of human microbial dynamics,534,7606,2016-06-08,7,5,114,18262
0,Environmental Breviatea harbour mutualistic Arcobacter epibionts,534,7606,2016-06-01,2,8,55,3268
0,Age and context of the oldest known hominin fossils from Flores,534,7606,2016-06-08,3,6,84,22080
0,Homo floresiensis like fossils from the early Middle Pleistocene of Flores,534,7606,2016-06-08,4,8,217,19427
0,FeO2 and FeOOH under deep lower mantle conditions and Earth s oxygen hydrogen cycles,534,7606,2016-06-08,6,5,66,5444
0,An autonomous chemically fuelled small molecule motor,534,7606,2016-06-08,9,8,99,11649
0,Strongly correlated perovskite fuel cells,534,7606,2016-05-16,4,8,31,13011
0,Metastable high entropy dual phase alloys overcome the strength ductility trade off,534,7606,2016-05-18,6,9,33,30163
0,Digitized adiabatic quantum computing with a superconducting circuit,534,7606,2016-06-08,2,3,69,10046
0,Cold  clumpy accretion onto an active supermassive black hole,534,7606,2016-06-08,4,6,81,3075
0,Overcoming EGFR T790M  and EGFR C797S  resistance with mutant selective allosteric inhibitors,534,7605,2016-05-25,1,7,77,29179
0,Feedback modulation of cholesterol metabolism by the lipid responsive non coding RNA LeXis,534,7605,2016-05-11,4,7,15,8512
0,Pitx2 promotes heart repair by activating the antioxidant response after cardiac injury,534,7605,2016-05-25,4,5,41,57805
0,A shared neural ensemble links distinct contextual memories encoded close in time,534,7605,2016-05-23,3,6,234,15926
0,Early Neanderthal constructions deep in Bruniquel Cave in southwestern France,534,7605,2016-05-25,3,7,226,24251
0,The gene cortex controls mimicry and crypsis in butterflies and moths,534,7605,2016-06-01,6,4,199,8894
0,The industrial melanism mutation in British peppered moths is a transposable element,534,7605,2016-06-01,9,8,263,10786
0,Direct measurement of thermal conductivity in solid iron at planetary core conditions,534,7605,2016-06-01,3,8,33,4609
0,Experimental determination of the electrical resistivity of iron at Earth s core conditions,534,7605,2016-06-01,1,6,13,3383
0,Attosecond nonlinear polarization and light matter energy transfer in solids,534,7605,2016-05-23,0,9,24,5342
0,Convection in a volatile nitrogen ice rich layer drives Pluto s geological vigour,534,7605,2016-06-01,1,5,64,3482
0,Vigorous convection as the explanation for Pluto s polygonal terrain,534,7605,2016-06-01,7,7,45,2619
0,Regulation of black hole accretion by a disk wind during a violent outburst of V404 Cygni,534,7605,2016-05-09,8,6,29,2338
0,Structural insights into inhibition of lipid I production in bacterial cell wall synthesis,533,7604,2016-04-18,9,3,65,11556
0,Access of protective antiviral antibody to neuronal tissues requires CD4 T cell help,533,7604,2016-05-18,3,8,38,11381
0,Redirecting abiraterone metabolism to fine tune prostate cancer anti androgen therapy,533,7604,2016-05-25,4,5,49,4990
0,Culturing of  unculturable  human microbiota reveals novel taxa and extensive sporulation,533,7604,2016-05-04,7,9,387,41341
0,Genome wide association study identifies 74 loci associated with educational attainment,533,7604,2016-05-11,7,9,581,39528
0,Oil sands operations as a large source of secondary organic aerosols,534,7605,2016-05-25,2,7,140,7285
0,How sexual selection can drive the evolution of costly sperm ornamentation,533,7604,2016-05-25,4,8,154,6309
0,Competitive growth in a cooperative mammal,533,7604,2016-05-25,0,6,157,4204
0,The role of low volatility organic compounds in initial particle growth in the atmosphere,533,7604,2016-05-25,3,6,39,15602
0,Ion induced nucleation of pure biogenic particles,533,7604,2016-05-25,3,8,84,13296
0,Continuous probing of cold complex molecules with infrared frequency comb spectroscopy,533,7604,2016-05-04,9,8,11,3848
0,A high temperature ferromagnetic topological insulating phase by proximity coupling,533,7604,2016-05-09,2,5,13,10784
0,A resonant chain of four transiting  sub Neptune planets,533,7604,2016-05-11,1,4,31,2674
0,Suppressing star formation in quiescent galaxies with supermassive black hole winds,533,7604,2016-05-25,6,8,95,2527
0,Programmable editing of a target base in genomic DNA without double stranded DNA cleavage,533,7603,2016-04-20,6,6,440,71945
0,Maintenance and propagation of a deleterious mitochondrial genome by the mitochondrial unfolded protein response,533,7603,2016-05-02,3,5,56,9321
0,An obligatory role for neurotensin in high fat diet induced obesity,533,7603,2016-05-11,6,6,92,45293
0,FGF8 and SHH substitute for anterior posterior tissue interactions to induce limb regeneration,533,7603,2016-04-27,5,5,35,13279
0,Opponent and bidirectional control of movement velocity in the basal ganglia,533,7603,2016-05-02,5,7,66,7366
0,Local fitness landscape of the green fluorescent protein,533,7603,2016-05-11,6,6,70,9884
0,Metabolic acceleration and the evolution of human brain size and life history,533,7603,2016-05-04,3,7,270,11989
0,Deep sea diversity patterns are shaped by energy availability,533,7603,2016-05-11,2,4,220,8839
0,Repeated large scale retreat and advance of Totten Glacier indicated by inland bed erosion,533,7603,2016-05-18,6,5,112,5401
0,Changing atmospheric CO2 concentration was the primary driver of early Cenozoic climate,533,7603,2016-04-25,8,9,136,5918
0,Iron III  catalysed carbonyl olefin metathesis,533,7603,2016-04-27,6,5,30,19800
0,Self assembly of coherently dynamic  auxetic  two dimensional protein crystals,533,7603,2016-05-02,6,6,26,25231
0,An irradiated brown dwarf companion to an accreting white dwarf,533,7603,2016-05-18,1,6,53,1616
0,Architecture of the mitochondrial calcium uniporter,533,7602,2016-05-02,3,6,37,10884
0,Activation of the A2A adenosine G protein coupled receptor by conformational selection,533,7602,2016-05-04,7,8,27,8285
0,Molecular mechanism of APC C activation by mitotic phosphorylation,533,7602,2016-04-27,7,4,42,14392
0,The evolution of cooperation within the gut microbiota,533,7602,2016-04-25,5,7,218,14250
0,Self organization of the in vitro attached human embryo,533,7602,2016-05-04,5,3,130,65322
0,Restoring cortical control of functional movement in a human with quadriplegia,533,7602,2016-04-13,5,4,387,35610
0,First North American fossil monkey and early Miocene tropical biotic interchange,533,7602,2016-04-20,5,8,132,9587
0,A rapid burst in hotspot motion through the interaction of tectonics and deep mantle flow,533,7602,2016-05-11,1,9,35,4257
0,Ancient micrometeorites suggestive of an oxygen rich Archaean upper atmosphere,533,7602,2016-05-11,2,7,96,4967
0,Site selective and stereoselective functionalization of unactivated C H bonds,533,7602,2016-05-11,6,1,22,17678
0,Lightwave driven quasiparticle collisions on a subcycle timescale,533,7602,2016-05-11,7,6,16,6521
0,Temperate Earth sized planets transiting a nearby ultracool dwarf star,533,7602,2016-05-02,9,7,252,11202
0,No Sun like dynamo on the active star   Andromedae from starspot asymmetry,533,7602,2016-05-04,4,6,41,1962
0,Noncanonical autophagy inhibits the autoinflammatory  lupus like response to dying cells,533,7601,2016-04-20,8,3,80,13213
0,Ubiquitination independent of E1 and E2 enzymes by bacterial effectors,533,7601,2016-04-06,9,1,50,16103
0,EBI2 augments Tfh cell fate by promoting interaction with IL 2 quenching dendritic cells,533,7601,2016-05-05,7,7,49,19462
0,A single injection of anti HIV 1 antibodies protects against repeated SHIV challenges,533,7601,2016-04-27,6,9,112,9329
0,Unique human immune signature of Ebola virus disease in Guinea,533,7601,2016-05-04,5,7,189,6755
0,Parkinson associated risk variant in distal enhancer of   synuclein modulates target gene expression,533,7601,2016-04-20,5,7,156,31752
0,Topology of ON and OFF inputs in visual cortex enables an invariant columnar architecture,533,7601,2016-04-27,4,9,37,7361
0,The genetic program for cartilage development has deep homology within Bilateria,533,7601,2016-04-25,5,7,65,10901
0,Chondritic xenon in the Earth s mantle,533,7601,2016-04-25,1,4,30,2365
0,Scalable and sustainable electrochemical allylic C H oxidation,533,7601,2016-04-20,9,6,25,20724
0,Machine learning assisted materials discovery using failed experiments,533,7601,2016-05-04,8,7,144,15404
0,Polar metals by geometric design,533,7601,2016-04-20,9,7,13,11416
0,Resolved atomic lines reveal outflows in two ultraluminous X ray sources,533,7601,2016-04-27,8,6,29,2425
0,The crystal structure of Cpf1 in complex with CRISPR RNA,532,7600,2016-04-20,1,9,96,49158
0,The CRISPR associated DNA cleaving enzyme Cpf1 also processes precursor CRISPR RNA,532,7600,2016-04-20,9,8,109,33872
0,Normalizing the environment recapitulates adult human immune traits in laboratory mice,532,7600,2016-04-20,7,4,187,39269
0,Musashi 2 attenuates AHR signalling to expand human haematopoietic stem cells,532,7600,2016-04-27,4,4,97,21953
0,In situ imaging reveals the biomass of giant protists in the global ocean,532,7600,2016-04-20,6,7,85,16257
0,The eyes of Tullimonstrum reveal a vertebrate affinity,532,7600,2016-04-13,4,5,131,4876
0,The  Tully monster  is a vertebrate,532,7600,2016-03-16,4,9,744,26903
0,Bubble accumulation and its role in the evolution of magma reservoirs in the upper crust,532,7600,2016-04-13,6,1,26,4364
0,Rapid cycling of reactive nitrogen in the marine boundary layer,532,7600,2016-04-11,3,9,28,3619
0,The pentadehydro Diels Alder reaction,532,7600,2016-04-18,2,4,22,10324
0,Nanocrack regulated self humidifying membranes,532,7600,2016-04-27,7,3,38,18386
0,Quantum phases from competing short  and long range interactions in an optical lattice,532,7600,2016-04-11,8,9,12,4979
0,Dynamics from noisy data with extreme timing uncertainty,532,7600,2016-04-27,1,2,30,8908
0,NOD1 and NOD2 signalling links ER stress with inflammation,532,7599,2016-03-23,5,5,48,17714
0,Metabolic maintenance of cell asymmetry following division in activated T lymphocytes,532,7599,2016-04-11,2,1,62,12929
0,The diversity generating benefits of a prokaryotic adaptive immune system,532,7599,2016-04-13,2,5,97,5765
0,Age dependent modulation of vascular niches for haematopoietic stem cells,532,7599,2016-04-13,2,8,45,47792
0,Anatomy and function of an excitatory network in the visual cortex,532,7599,2016-03-28,5,5,162,31454
0,Revised stratigraphy and chronology for Homo floresiensis at Liang Bua in Indonesia,532,7599,2016-03-30,9,8,166,14878
0,The Parkfield tremors reveal slow and fast ruptures on the same asperity,532,7599,2016-04-04,5,5,31,4760
0,Daily magnesium fluxes regulate cellular timekeeping and energy balance,532,7599,2016-04-13,9,5,98,12744
0,Recent improvement and projected worsening of weather in the United States,532,7599,2016-04-20,2,8,129,6981
0,Copper catalysed enantioselective stereodivergent synthesis of amino alcohols,532,7599,2016-03-28,9,3,23,14803
0,A pressure amplifying framework material with negative gas adsorption transitions,532,7599,2016-04-06,9,9,90,10390
0,Detection of a Cooper pair density wave in Bi2Sr2CaCu2O8 x,532,7599,2016-04-13,1,9,26,8337
0,A 17 billion solar mass black hole in a group galaxy with a diffuse core,532,7599,2016-04-06,8,1,76,6490
0,Differential DNA repair underlies mutation hotspots at active promoters in cancer genomes,532,7598,2016-04-13,6,9,163,37691
0,Reductive carboxylation supports redox homeostasis during anchorage independent growth,532,7598,2016-04-06,5,8,25,15754
0,sFRP2 in the aged microenvironment drives melanoma metastasis and therapy resistance,532,7598,2016-04-04,4,5,111,28649
0,The necrosome promotes pancreatic oncogenesis via CXCL1 and Mincle induced immune suppression,532,7598,2016-04-06,7,6,55,48021
0,TAM receptors regulate multiple features of microglial physiology,532,7598,2016-04-06,4,8,46,45030
0,A neuronal circuit for colour vision based on rod cone opponency,532,7598,2016-04-06,9,8,111,7611
0,Post invasion demography of prehistoric humans in South America,532,7598,2016-04-06,6,3,126,6314
0,Ritual human sacrifice promoted and sustained the evolution of stratified societies,532,7598,2016-04-04,0,6,350,14767
0,Chemical weathering as a mechanism for the climatic control of bedrock river incision,532,7598,2016-04-13,3,7,37,3560
0,Asymmetric catalytic formation of quaternary carbons by iminium ion trapping of radicals,532,7598,2016-04-13,9,8,36,14903
0,Direct observation of dynamic shear jamming in dense suspensions,532,7598,2016-04-04,8,9,9,3934
0,A map of the large day night temperature gradient of a super Earth exoplanet,532,7598,2016-03-30,9,5,62,5653
0,Exploring the quantum speed limit with computer games,532,7598,2016-04-13,9,9,205,10621
0,Structural basis of lenalidomide induced CK1  degradation by the CRL4CRBN ubiquitin ligase,532,7597,2016-02-24,7,2,22,26211
0,Cerebral cavernous malformations arise from endothelial gain of MEKK3 KLF2 4 signalling,532,7597,2016-03-30,7,6,12,8912
0,Lypd8 promotes the segregation of flagellated microbiota and colonic epithelia,532,7597,2016-03-30,5,8,49,13379
0,Mitochondrial ROS regulate thermogenic energy expenditure and sulfenylation of UCP1,532,7597,2016-03-30,7,4,51,19038
0,Derivation and differentiation of haploid human embryonic stem cells,532,7597,2016-03-16,6,6,84,48088
0,A specific area of olfactory cortex involved in stress hormone responses to predator odours,532,7597,2016-03-21,4,7,98,16243
0,Late Quaternary climate change shapes island biodiversity,532,7597,2016-03-30,7,6,112,5661
0,Northern Hemisphere hydroclimate variability over the past twelve centuries,532,7597,2016-04-06,6,5,60,25897
0,Nineteen step total synthesis of     phorbol,532,7597,2016-03-23,5,3,54,26093
0,Continuous directional water transport on the peristome surface of Nepenthes alata,532,7597,2016-04-06,7,4,26,33061
0,Quantum hydrogen bond symmetrization in the superconducting hydrogen sulfide system,532,7597,2016-03-28,7,9,27,6914
0,Coherent feedback control of a single qubit in diamond,532,7597,2016-04-06,2,9,18,4142
0,The locations of recent supernovae near the Sun from modelling 60Fe transport,532,7597,2016-04-06,8,6,42,4387
0,Recent near Earth supernovae probed by global deposition of interstellar radioactive 60Fe,532,7597,2016-04-06,8,7,52,5172
0,ENL links histone acetylation to oncogenic gene expression in acute myeloid leukaemia,543,7644,2017-03-01,1,2,35,3876
0,The molecular architecture of lamins in somatic cells,543,7644,2017-03-01,0,9,27,3265
0,Reconstitution of the tubular endoplasmic reticulum network with purified components,543,7644,2017-02-22,0,7,56,3142
0,Survival of tissue resident memory T cells requires exogenous lipid uptake and metabolism,543,7644,2017-02-20,0,2,29,4471
0,Zika virus protection by a single low dose nucleoside modified mRNA vaccination,543,7644,2017-02-02,2,9,136,13987
0,Prophage WO genes recapitulate and enhance Wolbachia induced cytoplasmic incompatibility,543,7644,2017-02-27,0,9,300,1635
0,Earth s first stable continents did not form by subduction,543,7644,2017-02-27,0,8,68,2198
0,Arrays of horizontal carbon nanotubes of controlled chirality grown using designed catalysts,543,7644,2017-02-15,0,8,42,9121
0,Amplified stimulated emission in upconversion nanoparticles for super resolution nanoscopy,543,7644,2017-02-22,0,8,92,4854
0,Reading and writing single atom magnets,543,7644,2017-03-08,0,7,18,0
0,Observation of discrete time crystalline order in a disordered dipolar many body system,543,7644,2017-03-08,1,2,0,0
0,Observation of a discrete time crystal,543,7644,2017-03-08,1,7,13,0
0,Crystal structures of the CusA efflux pump suggest methionine mediated metal transport,467,7314,,8,1,0,0
0,Anisotropies in cortical tension reveal the physical basis of polarizing cortical flows,467,7315,2010-09-19,8,8,0,0
0,Structure of a fucose transporter in an outward open conformation,467,7316,2010-09-26,1,5,1,0
0,Structure of a cation bound multidrug and toxic compound extrusion transporter,467,7318,2010-09-22,9,5,0,0
0,Maternal mRNA deadenylation and decay by the piRNA pathway in the early Drosophila embryo,467,7319,2010-10-17,9,2,1,0
0,Identification of UBIAD1 as a novel human menaquinone 4 biosynthetic enzyme,468,7320,2010-10-17,5,3,0,0
0,A methyl transferase links the circadian clock to the regulation of alternative splicing,468,7320,2010-10-20,8,2,0,0
0,Iron catalysed oxidation intermediates captured in a DNA repair dioxygenase,468,7321,2010-11-10,8,4,0,0
0,The amino terminal disease hotspot of ryanodine receptors forms a cytoplasmic vestibule,468,7323,2010-11-03,9,0,0,0
0,Structure and mechanism of the S component of a bacterial ECF transporter,468,7324,2010-10-24,6,1,0,0
0,Design  function and structure of a monomeric ClC transporter,468,7325,2010-11-03,8,1,0,0
0,The mechanism of sodium and substrate release from the binding pocket of vSGLT,468,7326,2010-12-05,9,1,1,0
0,Taxadiene synthase structure and evolution of modular architecture in terpene biosynthesis,469,7328,2010-12-15,9,0,0,0
0,Neurotransmitter sodium symporter orthologue LeuT has a single high affinity substrate site,468,7327,2010-12-22,8,7,0,0
0,ATM damage response and XLF repair factor are functionally redundant in joining DNA breaks,469,7329,2010-12-15,8,2,1,0
0,The proteasome antechamber maintains substrates in an unfolded state,467,7317,2010-10-13,7,7,0,0
0,X ray structures of general anaesthetics bound to a pentameric ligand gated ion channel,469,7330,2011-01-19,6,1,0,0
0,Atomic level modelling of the HIV capsid,469,7330,2011-01-19,8,2,0,0
0,Reduction of disulphide bonds unmasks potent antimicrobial activity of human  bgr  defensin 1,469,7330,2011-01-19,5,7,0,0
0,Paneth cells constitute the niche for Lgr5 stem cells in intestinal crypts,469,7330,2010-11-28,7,6,1,0
0,Identification of two genes causing reinforcement in the Texas wildflower Phlox drummondii,469,7330,2011-01-09,8,1,1,0
0,Spatially asymmetric reorganization of inhibition establishes a motion sensitive circuit,469,7330,2010-12-19,9,0,0,0
0,Development of asymmetric inhibition underlying direction selectivity in the retina,469,7330,2010-12-05,8,1,0,0
0,Preplay of future place cell sequences by hippocampal cellular assemblies,469,7330,2010-12-22,8,5,5,0
0,Primitive agriculture in a social amoeba,469,7330,2011-01-19,9,9,12,0
0,Probing the electromagnetic field of a 15 nanometre hotspot by single molecule imaging,469,7330,2011-01-19,6,3,0,0
0,Directed self assembly of a colloidal kagome lattice,469,7330,2011-01-19,9,1,0,0
0,Supermassive black holes do not correlate with dark matter haloes of galaxies,469,7330,2011-01-19,9,2,0,0
0,Supermassive black holes do not correlate with galaxy disks or pseudobulges,469,7330,2011-01-19,9,0,0,0
0,H2AX prevents CtIP mediated DNA end resection and aberrant repair in G1 phase lymphocytes,469,7329,2010-12-15,7,2,1,0
0,The structural basis for agonist and partial agonist action on a  bgr 1 adrenergic receptor,469,7329,2011-01-12,7,2,0,0
0,Structure and function of an irreversible agonist  bgr 2 adrenoceptor complex,469,7329,2011-01-12,8,7,0,0
0,Grains and grain boundaries in single layer graphene atomic patchwork quilts,469,7330,2011-01-05,8,9,0,0
0,c Jun N terminal phosphorylation antagonises recruitment of the Mbd3 NuRD repressor complex,469,7329,2011-01-02,8,1,0,0
0,Hydrostatic pressure and the actomyosin cortex drive mitotic cell rounding,469,7329,2011-01-02,9,4,0,0
0,A role for mitochondria in NLRP3 inflammasome activation,469,7329,2010-12-01,9,2,1,0
0,Integrative genomics identifies LMO1 as a neuroblastoma oncogene,469,7329,2010-12-01,6,3,0,0
0,Robust multicellular computing using genetically encoded NOR gates and chemical   wires  ,469,7329,2010-12-08,9,4,3,0
0,Distributed biological computation with multicellular engineered networks,469,7329,2010-12-08,8,9,1,0
0,Reliability of flipper banded penguins as indicators of climate change,469,7329,2011-01-12,9,9,6,0
0,Contrasting crustal production and rapid mantle transitions beneath back arc ridges,469,7329,2011-01-12,5,0,0,0
0,Nanoscale chemical tomography of buried organic inorganic interfaces in the chiton tooth,469,7329,2011-01-12,9,4,1,0
0,Two dimensional electron gas with universal subbands at the surface of SrTiO3,469,7329,2011-01-12,9,0,0,0
0,Local charge of the  ngr    5 2 fractional quantum Hall state,469,7329,2011-01-12,9,0,0,0
0,A distortion of very high redshift galaxy number counts by gravitational lensing,469,7329,2011-01-12,8,5,0,0
0,CENP B preserves genome integrity at replication forks paused by retrotransposon LTR,469,7328,2010-12-12,8,0,0,0
