,article_title,article_volume,article_issue,article_date,article_citations,article_attention,article_tweets,article_views
0,SAR11 bacteria linked to ocean anoxia and nitrogen loss,536,7615,2016-08-03,2,2,150,5662
0,A multi modal parcellation of human cerebral cortex,536,7615,2016-07-20,6,2,930,92986
0,Tempo and mode of genome evolution in a 50 000 generation experiment,536,7615,2016-08-01,4,7,445,16083
0,Synergistic  ultrafast mass storage and removal in artificial mixed conductors,536,7615,2016-08-10,2,3,19,4740
0,Autophagy maintains the metabolism and function of young and old stem cells,543,7644,2017-03-01,0,6,36,6245
0,An atlas of human long non coding RNAs with accurate 5  ends,543,7644,2017-03-01,0,4,578,9074
0,Nomadic ecology shaped the highland geography of Asia s Silk Roads,543,7644,2017-03-08,1,5,16,0
0,The genetic architecture of type 2 diabetes,536,7614,2016-07-11,4,5,501,46177
0,Mediator and cohesin connect gene expression and chromatin architecture,467,7314,2010-08-18,8,3,2,0
0,Structure of RCC1 chromatin factor bound to the nucleosome core particle,467,7315,2010-08-25,5,7,4,0
0,Purified human BRCA2 stimulates RAD51 mediated recombination,467,7316,2010-08-22,8,2,0,0
0,The Ndc80 kinetochore complex forms oligomeric arrays along microtubules,467,7317,2010-10-13,9,1,0,0
0,Single molecule analysis of Mss116 mediated group II intron folding,467,7318,2010-10-13,7,1,0,0
0,Homologue structure of the SLAC1 anion channel for closing stomata in leaves,467,7319,2010-10-27,7,4,0,0
0,Video imaging of walking myosin V by high speed atomic force microscopy,468,7320,2010-10-10,8,4,3,0
0,Encoding of conditioned fear in central amygdala inhibitory circuits,468,7321,2010-11-10,9,6,1,0
0,An unprecedented nucleic acid capture mechanism for excision of DNA damage,468,7322,2010-10-03,9,1,0,0
0,Structure and control of the actin regulatory WAVE complex,468,7323,2010-11-24,8,4,0,0
0,U1 snRNP protects pre mRNAs from premature cleavage and polyadenylation,468,7324,2010-09-29,9,1,0,0
0,Quantitative reactivity profiling predicts functional cysteines in proteomes,468,7325,2010-11-17,9,2,1,0
0,CRTC3 links catecholamine signalling to energy balance,468,7326,2010-12-15,5,1,0,0
0,Driving the cell cycle with a minimal CDK control network,468,7327,2010-12-22,7,2,3,0
0,Structure of a nanobody stabilized active state of the  bgr 2 adrenoceptor,469,7329,2011-01-12,7,2,0,0
0,Fungal lipochitooligosaccharide symbiotic signals in arbuscular mycorrhiza,469,7328,2011-01-05,9,4,3,0
0,Nascent transcript sequencing visualizes transcription at nucleotide resolution,469,7330,2011-01-19,7,3,6,0
0,Evolution of human BCR ABL1 lymphoblastic leukaemia initiating cells,469,7330,2011-01-19,8,9,0,0
0,Genetic variegation of clonal architecture and propagating cells in leukaemia,469,7330,2010-12-15,4,8,3,0
0,A selective role for dopamine in stimulus reward learning,469,7328,2010-12-08,6,5,6,0
0,Reversing EphB2 depletion rescues cognitive functions in Alzheimer model,469,7328,2010-11-28,9,5,0,0
0,Selective inhibition of BET bromodomains,468,7327,2010-09-24,8,7,14,0
0,A population specific HTR2B stop codon predisposes to severe impulsivity,468,7327,2010-12-22,8,3,3,0
0,Genetic history of an archaic hominin group from Denisova Cave in Siberia,468,7327,2010-12-22,9,5,44,0
0,TRIM24 links a non canonical histone signature to breast cancer,468,7326,2010-12-15,6,1,0,0
0,Light avoidance mediating photoreceptors tile the Drosophila larval body wall,468,7326,2010-11-10,2,5,1,0
0,Structure of a bacterial ribonuclease P holoenzyme in complex with tRNA,468,7325,2010-11-14,8,4,0,0
0,Cap binding and immune evasion revealed by Lassa nucleoprotein structure,468,7325,2010-11-17,9,1,0,0
0,The Lkb1 metabolic sensor maintains haematopoietic stem cell survival,468,7324,2010-12-01,8,2,0,0
0,Lkb1 regulates cell cycle and energy metabolism in haematopoietic stem cells,468,7324,2010-12-01,4,2,1,0
0,Sugar transporters for intercellular exchange and nutrition of pathogens,468,7323,2010-11-24,6,7,5,0
0,Direct conversion of human fibroblasts to multilineage blood progenitors,468,7323,2010-11-07,7,9,5,0
0,Jasmonate perception by inositol phosphate potentiated COI1 JAZ co receptor,468,7322,2010-10-06,5,6,1,0
0,Support for a synaptic chain model of neuronal sequence generation,468,7322,2010-10-24,8,4,1,0
0,Genetic dissection of an amygdala microcircuit that gates conditioned fear,468,7321,2010-11-10,9,1,4,0
0,Dysfunction in GABA signalling mediates autism like stereotypies and Rett syndrome phenotypes,468,7321,2010-11-10,9,5,1,0
0,The CRISPR Cas bacterial immune system cleaves bacteriophage and plasmid DNA,468,7320,2010-11-03,9,7,1,0
0,Genomic and functional adaptation in surface ocean planktonic prokaryotes,468,7320,2010-11-03,9,4,0,0
0,Quantum gravitational contributions to quantum electrodynamics,468,7320,2010-11-03,8,5,2,0
0,Early star forming galaxies and the reionization of the Universe,468,7320,2010-11-03,3,0,0,0
0,A map of human genome variation from population scale sequencing,467,7319,2010-10-27,3,7,31,0
0,Rise and fall of political complexity in island South East Asia and the Pacific,467,7317,2010-10-13,9,9,12,0
0,Functional connectivity in the retina at the resolution of photoreceptors,467,7316,2010-10-06,6,9,0,0
0,Global threats to human water security and river biodiversity,467,7315,2010-09-29,9,1,10,0
0,Ocean nutrient ratios governed by plankton biogeography,467,7315,2010-09-29,9,3,2,0
0,Gut inflammation provides a respiratory electron acceptor for Salmonella,467,7314,,9,8,4,0
0,Origin of the human malaria parasite Plasmodium falciparum in gorillas,467,7314,,8,9,6,0
0,Circadian clocks in human red blood cells,469,7331,2011-01-26,9,5,3,0
0,Mapping copy number variation by population scale genome sequencing,470,7332,2011-02-02,7,9,2,0
0,Structural basis for the subunit assembly of the anaphase promoting complex,470,7333,2011-02-09,8,0,0,0
0,Telomere dysfunction induces metabolic and mitochondrial compromise,470,7334,2011-02-09,9,2,3,0
0,Asymmetric cell divisions promote Notch dependent epidermal differentiation,470,7334,2011-02-16,8,2,0,0
0,Functional identification of an aggression locus in the mouse hypothalamus,470,7333,2011-02-09,9,7,4,0
0,The genomic complexity of primary human prostate cancer,470,7333,2011-02-09,8,8,5,0
0,A closely packed system of low mass  low density planets transiting Kepler 11,470,7332,2011-02-02,9,3,1,0
0,Intrinsic transition of embryonic stem cell differentiation into neural progenitors,470,7335,2011-02-16,9,2,0,0
0,Transient Hoogsteen base pairs in canonical duplex DNA,470,7335,2011-01-26,9,5,0,0
0,HDACs link the DNA damage response  processing of double strand breaks and autophagy,471,7336,2011-03-02,8,2,2,0
0,Inactivating mutations of acetyltransferase genes in B cell lymphoma,471,7337,2011-03-09,3,2,0,0
0,Crystal structure of a potassium ion transporter  TrkH,471,7338,2011-02-13,4,5,3,0
0,Comprehensive analysis of the chromatin landscape in Drosophila melanogaster,471,7339,2010-12-22,9,2,2,0
0,Streptococcal M1 protein constructs a pathological host fibrinogen network,472,7341,2011-04-06,4,0,0,0
0,CRISPR RNA maturation by trans encoded small RNA and host factor RNase III,471,7340,2011-03-30,8,9,10,0
0,Cortical representations of olfactory input by trans synaptic tracing,472,7342,2010-12-22,4,8,1,0
0,Loss of function mutations in sodium channel Nav1 7 cause anosmia,472,7342,2011-03-23,8,2,1,0
0,Transitional mammalian middle ear from a new Cretaceous Jehol eutriconodont,472,7342,2011-04-13,9,5,2,0
0,Gut flora metabolism of phosphatidylcholine promotes cardiovascular disease,472,7341,2011-04-06,6,8,28,0
0,Self organizing optic cup morphogenesis in three dimensional culture,472,7341,2011-04-06,7,7,15,0
0,Habenular  agr 5 nicotinic receptor subunit signalling controls nicotine intake,471,7340,2011-01-30,8,7,0,0
0,Linear ubiquitination prevents inflammation and regulates immune signalling,471,7340,2011-03-30,3,1,0,0
0,The developmental transcriptome of Drosophila melanogaster,471,7339,2010-12-22,9,4,3,0
0,Initial genome sequencing and analysis of multiple myeloma,471,7339,2011-03-23,9,5,14,0
0,A critical role for IGF II in memory consolidation and enhancement,469,7331,2011-01-26,9,5,3,0
0,Catalytic Z selective olefin cross metathesis for natural product synthesis,471,7339,2011-03-23,9,8,1,0
0,Structure and mechanism of the hexameric MecA ClpC molecular machine,471,7338,2011-03-02,6,2,1,0
0,DICER1 deficit induces Alu RNA toxicity in age related macular degeneration,471,7338,2011-02-06,9,5,0,0
0,Single spin addressing in an atomic Mott insulator,471,7338,2011-03-16,8,5,2,0
0,Wiring specificity in the direction selectivity circuit of the retina,471,7337,2011-03-09,5,7,1,0
0,Network anatomy and in vivo physiology of visual cortical neurons,471,7337,2011-03-09,7,6,1,0
0,Hotspots of aberrant epigenomic reprogramming in human induced pluripotent stem cells,471,7336,2011-02-02,8,5,2,0
0,Somatic coding mutations in human induced pluripotent stem cells,471,7336,2011-03-02,9,4,1,0
0,Copy number variation and selection during reprogramming to pluripotency,471,7336,2011-03-02,7,8,4,0
0,Post traumatic stress disorder is associated with PACAP and the PAC1 receptor,470,7335,2011-02-23,9,3,4,0
0,An open system quantum simulator with trapped ions,470,7335,2011-02-23,5,3,0,0
0,Crystal structure of oxygen evolving photosystem II at a resolution of 1 9 thinsp A,473,7345,2011-04-17,2,8,10,0
0,Sequential interactions with Sec23 control the direction of vesicle traffic,473,7346,2011-05-01,6,1,0,0
0,TET1 and hydroxymethylcytosine in transcription and DNA methylation fidelity,473,7347,2011-04-13,9,1,0,0
0,Global quantification of mammalian gene expression control,473,7347,2011-05-18,1,3,18,0
0,Enterotypes of the human gut microbiome,473,7346,2011-04-20,1,6,60,0
0,Controllability of complex networks,473,7346,2011-05-11,8,6,10,0
0,Crystal structure of a phosphorylation coupled saccharide transporter,473,7345,2011-04-06,9,3,0,0
0,Mapping and analysis of chromatin state dynamics in nine human cell types,473,7345,2011-03-23,8,2,5,0
0,Local sleep in awake rats,472,7344,2011-04-27,6,5,136,0
0,Shank3 mutant mice display autistic like behaviours and striatal dysfunction,472,7344,2011-03-20,3,7,2,0
0,Crystal structure of inhibitor of  kgr B kinase  bgr ,472,7343,2011-03-20,9,2,0,0
0,Royalactin induces queen differentiation in honeybees,473,7348,2011-04-24,9,1,29,0
0,Caspase signalling controls microglia activation and neurotoxicity,472,7343,2011-03-09,7,5,2,0
0,Principles of activation and permeation in an anion selective Cys loop receptor,474,7349,2011-05-15,8,1,0,0
0,Crystal structure of the FimD usher bound to its cognate FimC FimH substrate,474,7349,2011-06-01,9,5,2,0
0,Catecholamine receptor polymorphisms affect decision making in C  elegans,472,7343,2011-03-16,7,2,0,0
0,Structure and mechanism of the chromatin remodelling factor ISW1a,472,7344,2011-04-27,8,3,1,0
0,Role of YAP TAZ in mechanotransduction,474,7350,2011-06-08,8,7,3,0
0,X ray structure of a bacterial oligosaccharyltransferase,474,7351,2011-06-15,7,5,2,0
0,Condensin association with histone H2A shapes mitotic chromosomes,474,7352,2011-06-01,9,1,1,0
0,Integrated genomic analyses of ovarian carcinoma,474,7353,2011-06-29,2,5,41,0
0,Structure of the human histamine H1 receptor complex with doxepin,475,7354,2011-06-22,9,3,11,0
0,Dicer recognizes the 5 prime  end of RNA for efficient and accurate processing,475,7355,2011-07-13,7,2,15,0
0,The crystal structure of a voltage gated sodium channel,475,7356,2011-07-10,7,6,19,0
0,Second messenger role for Mg2  revealed by human T cell immunodeficiency,475,7357,2011-07-27,2,8,5,0
0,A critical role for TCF 1 in T lineage specification and differentiation,476,7358,2011-08-03,9,3,1,0
0,Hydrogen is an energy source for hydrothermal vent symbioses,476,7359,2011-08-10,9,9,18,0
0,Frequent mutation of histone modifying genes in non Hodgkin lymphoma,476,7360,2011-07-27,9,4,26,0
0,Structure of the membrane domain of respiratory complex I,476,7361,2011-08-07,7,7,10,0
0,The mechanism of membrane associated steps in tail anchored protein insertion,477,7362,2011-08-24,9,2,4,0
0,BRCA1 tumour suppression occurs via heterochromatin mediated silencing,477,7363,2011-09-07,7,3,10,0
0,lincRNAs act in the circuitry controlling pluripotency and differentiation,477,7364,2011-08-28,8,4,26,0
0,The crystal structure of dynamin,477,7366,2011-09-18,8,3,4,0
0,CTCF binding elements mediate control of V D J recombination,477,7365,2011-09-11,7,1,2,0
0,Crystal structure of nucleotide free dynamin,477,7366,2011-09-18,9,7,5,0
0,Crystal structure of the  bgr 2 adrenergic receptor Gs protein complex,477,7366,2011-07-19,8,8,55,0
0,Multiple reference genomes and transcriptomes for Arabidopsis thaliana,477,7365,2011-08-28,9,5,39,0
0,Mouse genomic variation and its effect on phenotypes and gene regulation,477,7364,2011-09-14,9,8,27,0
0,Neocortical excitation inhibition balance in information processing and social dysfunction,477,7363,2011-07-27,7,1,49,0
0,Human metabolic individuality in biomedical and pharmaceutical research,477,7362,2011-08-31,9,3,32,0
0,Germ layer and lineage restricted stem progenitors regenerate the mouse digit tip,476,7361,2011-08-24,7,6,8,0
0,Lgr5 homologues associate with Wnt receptors and mediate R spondin signalling,476,7360,2011-07-04,7,1,4,0
0,The landscape of recombination in African Americans,476,7359,2011-07-20,9,7,22,0
0,On the growth and form of the gut,476,7358,2011-08-03,8,5,25,0
0,Woody cover and hominin environments in the past 6 thinsp million years,476,7358,2011-08-03,6,8,7,0
0,An Archaeopteryx like theropod from China and the origin of Avialae,475,7357,2011-07-27,8,3,44,0
0,An integrated semiconductor device enabling non optical genome sequencing,475,7356,2011-07-20,8,5,116,0
0,Type VI secretion delivers bacteriolytic effectors to target cells,475,7356,2011-07-20,9,9,9,0
0,Functional regeneration of respiratory pathways after spinal cord injury,475,7355,2011-07-13,6,3,11,0
0,Genome sequence and analysis of the tuber crop potato,475,7355,2011-07-10,6,8,114,0
0,Collective synthesis of natural products by means of organocascade catalysis,475,7355,2011-07-13,9,5,36,0
0,Quantum simulation of antiferromagnetic spin chains in an optical lattice,472,7343,2011-04-13,8,5,0,0
0,Crystal structure of a copper transporting PIB type ATPase,475,7354,2011-06-29,4,5,5,0
0,Fancd2 counteracts the toxic effects of naturally produced aldehydes in mice,475,7354,2011-07-06,7,4,7,0
0,Indian and African plate motions driven by the push force of the Reunion plume head,475,7354,2011-07-06,8,5,4,0
0,Genomic island variability facilitates Prochlorococcus virus coexistence,474,7353,2011-06-29,9,8,9,0
0,Morphological evolution caused by many subtle effect substitutions in regulatory DNA,474,7353,2011-06-29,9,2,13,0
0,Structural insight into brassinosteroid perception by BRI1,474,7352,2011-06-12,1,3,10,0
0,Structural basis of steroid hormone perception by the receptor kinase BRI1,474,7352,2011-06-12,9,8,18,0
0,Regioselective reactions for programmable resveratrol oligomer synthesis,474,7352,2011-06-22,9,3,6,0
0,Latent TGF  bgr  structure and activation,474,7351,2011-06-15,8,3,2,0
0,A conditional knockout resource for the genome wide study of mouse gene function,474,7351,2011-06-15,9,8,9,0
0,Role of the ubiquitin like protein Hub1 in splice site usage and alternative splicing,474,7350,2011-05-25,4,2,1,0
0,Complement factor H binds malondialdehyde epitopes and protects from oxidative stress,478,7367,2011-10-05,9,5,5,0
0,DNA stretching by bacterial initiators promotes replication origin opening,478,7368,2011-10-02,7,2,2,0
0,Diffraction unlimited all optical imaging and writing with a photochromic GFP,478,7368,2011-09-11,8,2,13,0
0,Spatio temporal transcriptome of the human brain,478,7370,2011-10-26,7,8,51,0
0,A high resolution map of human evolutionary constraint using 29 mammals,478,7370,2011-10-12,9,6,65,0
0,Unprecedented Arctic ozone loss in 2011,478,7370,2011-10-02,7,6,75,0
0,PDGF signalling controls age dependent proliferation in pancreatic  bgr  cells,478,7369,2011-10-12,8,8,7,0
0,CTCF promoted RNA polymerase II pausing links DNA methylation to splicing,479,7371,2011-10-02,8,2,12,0
0,Melanopsin signalling in mammalian iris and retina,479,7371,2011-11-02,8,2,5,0
0,Motor antagonism exposed by spatial segregation and timing of neurogenesis,479,7371,2011-10-19,6,3,2,0
0,The evolution of gene expression levels in mammalian organs,478,7369,2011-10-19,9,5,34,0
0,An endogenous tumour promoting ligand of the human aryl hydrocarbon receptor,478,7368,2011-10-05,8,2,8,0
0,Human oocytes reprogram somatic cells to a pluripotent state,478,7367,2011-10-05,9,7,45,0
0,Frequent pathway mutations of splicing machinery in myelodysplasia,478,7367,2011-09-11,7,7,49,0
0,Deep sequencing reveals 50 novel genes for recessive cognitive disorders,478,7367,2011-09-21,8,6,114,0
0,Structure and function of the AAA  protein CbbX  a red type Rubisco activase,479,7372,2011-11-02,5,4,14,0
0,Transgenerational epigenetic inheritance of longevity in Caenorhabditis elegans,479,7373,2011-10-19,7,4,66,0
0,Species specific responses of Late Quaternary megafauna to climate and humans,479,7373,2011-11-02,6,2,50,0
0,The circadian molecular clock creates epidermal stem cell heterogeneity,480,7376,2011-11-09,9,4,21,0
0,Mutations causing syndromic autism define an axis of synaptic pathophysiology,480,7375,2011-11-23,7,7,23,0
0,DNA binding factors shape the mouse methylome at distal regulatory regions,,,2011-12-14,9,6,13,0
0,Structure of HIV 1 gp120 V1 V2 domain with broadly neutralizing antibody PG9,480,7377,2011-11-23,5,2,10,0
0,Antiparallel EmrE exports drugs by exchanging between asymmetric structures,481,7379,2011-12-18,6,8,10,16971
0,The genetic basis of early T cell precursor acute lymphoblastic leukaemia,481,7380,2012-01-11,8,3,13,59246
0,Structure of HDAC3 bound to co repressor and inositol tetraphosphate,481,7381,2012-01-09,5,5,6,32035
0,X ray structures of LeuT in substrate free outward open and apo inward open states,481,7382,2012-01-09,9,1,7,22488
0,DNA breaks and chromosome pulverization from errors in mitosis,482,7383,2012-01-18,4,8,11,66160
0,Complete subunit architecture of the proteasome regulatory particle,482,7384,2012-01-11,9,7,19,46344
0,Neuronal filtering of multiplexed odour representations,479,7374,2011-11-13,8,3,8,0
0,Crystal structure of the channelrhodopsin light gated cation channel,482,7385,2012-01-22,7,8,80,46850
0,Structural basis of highly conserved ribosome recycling in eukaryotes and archaea,482,7386,2012-02-22,8,3,3,20537
0,Ubiquitin dependent regulation of COPII coat size and function,482,7386,2012-02-22,8,3,3,30839
0,Recognition of SUMO modified PCNA requires tandem receptor motifs in Srs2,483,7387,2012-02-29,9,2,0,16555
0,Type VI secretion requires a dynamic contractile phage tail like structure,483,7388,2012-02-26,8,5,15,35553
0,Piezo proteins are pore forming subunits of mechanically activated channels,483,7388,2012-02-19,9,2,9,40179
0,Prions are a common mechanism for phenotypic inheritance in wild yeasts,482,7385,2012-02-15,6,9,30,40280
0,Distinct stem cells contribute to mammary gland development and maintenance,479,7372,2011-10-09,7,9,7,0
0,Insights into hominid evolution from the gorilla genome sequence,483,7388,2012-03-07,9,3,138,94752
0,Structural basis for iron piracy by pathogenic Neisseria,483,7387,2012-02-12,8,6,4,20985
0,Gain control by layer six in cortical circuits of vision,483,7387,2012-02-22,5,8,7,35858
0,Eutrophication causes speciation reversal in whitefish adaptive radiations,482,7385,2012-02-15,5,9,27,17219
0,Inflammasome mediated dysbiosis regulates progression of NAFLD and obesity,482,7384,2012-02-01,9,6,15,55912
0,Experimental demonstration of topological error correction,482,7386,2012-02-22,7,1,3,18535
0,Conditional modulation of spike timing dependent plasticity for olfactory learning,482,7383,2012-01-25,8,5,13,22702
0,A PGC1  agr  dependent myokine that drives brown fat like development of white fat and thermogenesis,481,7382,2012-01-11,6,6,134,147366
0,Endothelial and perivascular cells maintain haematopoietic stem cells,481,7382,2012-01-25,9,3,6,58562
0,A novel retinoblastoma therapy from genomic and epigenetic analyses,481,7381,2012-01-11,9,4,28,77283
0,A sensing array of radically coupled genetic   biopixels  ,481,7379,2011-12-18,4,8,41,36565
0,A disinhibitory microcircuit for associative fear learning in the auditory cortex,480,7377,2011-12-07,6,9,22,0
0,New gene functions in megakaryopoiesis and platelet formation,480,7376,2011-11-30,9,6,20,0
0,Self formation of functional adenohypophysis in three dimensional culture,480,7375,2011-11-09,9,6,58,0
0,The Drosophila melanogaster Genetic Reference Panel,482,7384,2012-02-08,8,6,32,81159
0,The genome of Tetranychus urticae reveals herbivorous pest adaptations,479,7374,2011-11-23,9,4,24,0
0,Genome wide structure and organization of eukaryotic pre initiation complexes,483,7389,2012-01-18,9,2,14,57431
0,Ancient deuterostome origins of vertebrate brain signalling centres,483,7389,2012-03-14,9,5,20,19229
0,Intrinsic coupling of lagging strand synthesis to chromatin assembly,483,7390,2012-03-14,9,5,8,27492
0,Systematic identification of genomic markers of drug sensitivity in cancer cells,483,7391,2012-03-28,7,7,39,93758
0,DNA damage defines sites of recurrent chromosomal translocations in B lymphocytes,484,7392,2012-02-07,3,4,6,28077
0,Choice specific sequences in parietal cortex during a virtual navigation decision task,484,7392,2012-03-14,9,5,18,36856
0,The 2 8 thinsp A crystal structure of the dynein motor domain,484,7394,2012-03-07,8,2,22,29786
0,Clonally dominant cardiomyocytes direct heart morphogenesis,484,7395,2012-04-25,8,3,19,27912
0,Osteoprotection by semaphorin 3A,485,7396,2012-04-18,7,2,35,37636
0,Molecular mechanism of ATP binding and ion channel activation in P2X receptors,485,7397,2012-04-25,9,2,33,33500
0,Cardiac angiogenic imbalance leads to peripartum cardiomyopathy,485,7398,2012-05-09,8,3,14,15260
0,Brain wide neuronal dynamics during motor adaptation in zebrafish,485,7399,2012-05-09,8,8,38,40314
0,Fluoride ion encapsulation by Mg2  ions and phosphates in a fluoride riboswitch,486,7401,2012-05-13,9,2,7,13854
0,The let 7 Imp axis regulates ageing of the Drosophila testis stem cell niche,485,7400,2012-05-23,7,5,7,18161
0,NPR3 and NPR4 are receptors for the immune signal salicylic acid in plants,486,7402,2012-05-16,9,6,40,48477
0,A map of nucleosome positions in yeast at base pair resolution,486,7404,2012-06-03,6,9,14,30097
0,Structure of yeast Argonaute with guide RNA,486,7403,2012-05-18,5,1,19,23135
0,mTORC1 in the Paneth cell niche couples intestinal stem cell function to calorie intake,486,7404,2012-05-20,7,3,29,39603
0,Dimensionality of consumer search space drives trophic interaction strengths,486,7404,2012-05-30,7,9,8,8532
0,Large scale prediction and testing of drug activity on side effect targets,486,7403,2012-06-10,5,5,17,45900
0,Whole genome analysis informs breast cancer response to aromatase inhibition,486,7403,2012-06-10,9,6,67,54873
0,The genomic and transcriptomic architecture of 2 000 breast tumours reveals novel subgroups,486,7403,2012-04-18,9,8,192,160142
0,Superallowed Gamow Teller decay of the doubly magic nucleus 100Sn,486,7403,2012-06-20,7,6,0,5824
0,Human gut microbiome viewed across age and geography,486,7402,2012-05-09,6,5,111,99720
0,A framework for human microbiome research,486,7402,2012-06-13,7,5,23,114692
0,Structure  function and diversity of the healthy human microbiome,486,7402,2012-06-13,1,6,165,268323
0,Visualizing heavy fermions emerging in a quantum critical Kondo lattice,486,7402,2012-06-13,7,1,0,13306
0,Chemical genetic discovery of targets and anti targets for cancer polypharmacology,486,7401,2012-06-06,9,4,17,33949
0,Cis regulatory control of corticospinal system development and evolution,486,7401,2012-05-30,7,5,9,19774
0,Heart repair by reprogramming non myocytes with cardiac transcription factors,485,7400,2012-05-13,8,5,67,54640
0,In vivo reprogramming of murine cardiac fibroblasts into induced cardiomyocytes,485,7400,2012-04-18,8,4,39,66388
0,Rab5 is necessary for the biogenesis of the endolysosomal system in vivo,485,7399,2012-05-23,8,1,3,22822
0,Peroxiredoxins are conserved markers of circadian rhythms,485,7399,2012-05-16,6,9,37,39379
0,Structure of the human  kgr  opioid receptor in complex with JDTic,485,7398,2012-03-21,9,6,18,39385
0,Crystal structure of the  micro  opioid receptor bound to a morphinan antagonist,485,7398,2012-03-21,9,6,22,52786
0,Topology of the human and mouse m6A RNA methylomes revealed by m6A seq,485,7397,2012-04-29,6,4,17,44408
